EDT,Latitude,Longitude,Course,Direction,KTS,MPH,feet,Rate
Wed 05:58:25 PM,47.2695,8.0415,119¡,Southeast,473,544,"37,000",
Wed 05:58:59 PM,47.2339,8.1347,119¡,Southeast,475,547,"37,000",
Wed 05:59:29 PM,47.2011,8.2204,119¡,Southeast,475,547,"37,000",
Wed 06:00:00 PM,47.1678,8.307,119¡,Southeast,475,547,"37,000",
Wed 06:00:30 PM,47.1386,8.383,119¡,Southeast,474,545,"37,000",
Wed 06:01:32 PM,47.0721,8.5549,119¡,Southeast,471,542,"37,000",
Wed 06:02:34 PM,47.0021,8.7346,119¡,Southeast,469,540,"37,000",
Wed 06:03:34 PM,46.9378,8.8985,119¡,Southeast,470,541,"37,000",
Wed 06:04:34 PM,46.8762,9.0544,120¡,Southeast,464,534,"37,000",
Wed 06:05:34 PM,46.8107,9.2197,120¡,Southeast,460,529,"37,000",
Wed 06:06:49 PM,46.7321,9.4167,120¡,Southeast,461,531,"37,000",
Wed 06:08:21 PM,46.669,9.574,117¡,Southeast,466,536,"37,000",
Wed 06:08:56 PM,46.6044,9.7571,116¡,Southeast,466,536,"37,000",
Wed 06:09:59 PM,46.5369,9.9509,116¡,Southeast,468,539,"37,000",
Wed 06:11:01 PM,46.492,10.0796,116¡,Southeast,470,541,"37,000",
Wed 06:11:32 PM,46.4517,10.1938,117¡,Southeast,473,544,"37,000",
Wed 06:12:33 PM,46.3875,10.3749,117¡,Southeast,476,548,"37,000",
Wed 06:13:37 PM,46.3246,10.5518,117¡,Southeast,477,549,"37,000",
Wed 06:14:38 PM,46.2585,10.7358,117¡,Southeast,477,549,"37,000",
Wed 06:15:45 PM,46.1886,10.9294,118¡,Southeast,477,549,"37,000",
Wed 06:16:49 PM,46.1245,11.1058,117¡,Southeast,478,550,"37,000",
Wed 06:17:50 PM,46.0616,11.2773,117¡,Southeast,478,550,"37,000",
Wed 06:18:52 PM,45.9983,11.4493,117¡,Southeast,480,552,"37,000",
Wed 06:19:36 PM,45.9519,11.5744,118¡,Southeast,482,555,"37,000",
Wed 06:20:08 PM,45.9189,11.6635,118¡,Southeast,481,554,"37,000",60Ê
Wed 06:21:16 PM,45.8555,11.8329,118¡,Southeast,477,549,"37,100",
Wed 06:21:46 PM,45.8353,11.8868,118¡,Southeast,476,548,"37,000",-100Ê
Wed 06:22:16 PM,45.7877,12.0133,118¡,Southeast,476,548,"37,000",
Wed 06:23:21 PM,45.7436,12.1301,118¡,Southeast,479,551,"37,000",
Wed 06:24:27 PM,45.6468,12.3844,119¡,Southeast,478,550,"37,000",
Wed 06:24:57 PM,45.6194,12.456,118¡,Southeast,478,550,"37,000",
Wed 06:25:27 PM,45.5831,12.5505,118¡,Southeast,478,550,"37,000",
Wed 06:26:01 PM,45.5602,12.61,119¡,Southeast,479,551,"37,000",
Wed 06:26:32 PM,45.5305,12.6866,119¡,Southeast,482,555,"37,000",
